Word,Friend,Score
abandon,abandon,100
abat,abat,100
abdomen,abdomen,100
abiturient,abituriënt,95
aborter,aborteer,93
abortus,abortus,100
abrakadabra,abracadabra,91
absentes,absenties,94
absentia,absentia,100
absolut,absolute,93
absorber,absorbeer,94
abstracto,abstracto,100
absurd,absurd,100
absurdum,absurdum,100
acajou,acajou,100
accent,accent,100
aceton,aceton,100
acetylen,acetyleen,94
achterdek,achterdek,100
achterluk,achterluik,95
achterpik,achterpiek,95
acid,acid,100
acquis,acquits,92
action,actiën,91
activum,activum,100
adagio,adagio,100
adagium,adagium,100
adapter,adapter,100
adat,adat,100
addend,addenda,92
addenda,addenda,100
adenowirus,adenovirus,90
adept,adept,100
adherent,adherent,100
adieu,adieu,100
adolescent,adolescent,100
adonis,adonis,100
adrenalina,adrenaline,90
adres,adres,100
adresant,adressant,94
adverbium,adverbium,100
advocaat,advocaat,100
aequo,aequo,100
aerob,aerobe,91
aerobic,aerobic,100
aerodrom,aerodroom,94
aerosol,aerosol,100
afekt,afbekt,91
affidavit,affidavit,100
affirmatim,affirmatie,90
afgan,afgaan,91
afro,afro,100
afront,affront,92
afterbeat,afterbeat,100
agape,agape,100
agenda,agenda,100
agens,agens,100
agent,agent,100
agere,ageren,91
agio,agio,100
agitato,agitato,100
agitator,agitator,100
agorafobia,agorafobie,90
agreement,agreement,100
agresor,agressor,93
agronom,agronoom,93
aide,aide,100
aids,aids,100
aigu,aigu,100
aikido,aikido,100
aioli,aioli,100
airbag,airbag,100
airbus,airbus,100
akant,akant,100
akonit,akoniet,92
alarm,alarm,100
albatros,albatros,100
album,album,100
albus,albums,91
aldehyd,aldehyde,93
alert,alert,100
alfa,alfa,100
alfabet,alfabet,100
algebra,algebra,100
alia,alia,100
alias,alias,100
alibi,alibi,100
aligator,alligator,94
alignement,alignement,100
alkanna,alkanna,100
alken,alken,100
alla,alla,100
allegretto,allegretto,100
allegro,allegro,100
alleluja,alleluja,100
allemande,allemande,100
allochton,allochtone,95
allofon,allofoon,93
allomorf,allomorf,100
allonim,alloniem,93
allotropia,allotropie,90
allure,allure,100
alomorf,allomorf,93
alpenhorn,alpenhoorn,95
altea,althea,91
alter,alter,100
altimetr,altimeter,94
aluminium,aluminium,100
alumn,alumni,91
alwar,alwaar,91
alzheimer,alzheimer,100
amalgam,amalgaam,93
amant,amant,100
amarant,amarant,100
amaretto,amaretto,100
amarylis,amaryllis,94
amaryllis,amaryllis,100
amber,amber,100
ambo,ambo,100
ambra,ambras,91
amen,amen,100
american,americain,94
amfetamina,amfetamine,90
amfora,amfora,100
amok,amok,100
amoniak,ammoniak,93
amor,amor,100
amore,amorfe,91
amper,amper,100
ampersand,ampersand,100
ampex,ampex,100
amulet,amulet,100
anabolia,anabolica,94
anachoreta,anachoreet,90
anaerob,anaerobe,93
anagram,anagram,100
analfabeta,analfabeet,90
analog,analoge,92
analogon,analogon,100
ananas,ananas,100
anapest,anapest,100
anarchista,anarchiste,90
anatema,anathema,93
anatom,anatoom,92
ancien,ancien,100
andant,andante,92
andante,andante,100
andantino,andantino,100
andragog,andragoge,94
andragogika,andragogiek,91
androgen,androgeen,94
androgyn,androgyn,100
androgyne,androgyne,100
androgynia,androgynie,90
anemik,anemiek,92
anemometr,anemometer,95
anemon,anemoon,92
